userId,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Matrix, The (1999)","Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),Jurassic Park (1993),Schindler's List (1993),American Beauty (1999),Terminator 2: Judgment Day (1991),Fight Club (1999),Toy Story (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Star Wars: Episode V - The Empire Strikes Back (1980),favourite_genre
1,4.0,0.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,5.0,4.0,5.0,5.0,Film-Noir
5,0.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,Animation
7,5.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,2.5,0.0,4.5,0.0,4.0,Film-Noir
15,5.0,5.0,4.0,4.0,0.0,5.0,0.0,0.0,5.0,4.0,5.0,2.5,2.5,4.0,5.0,Animation
17,5.0,5.0,5.0,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.5,4.5,4.5,4.5,5.0,Film-Noir
19,2.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,4.0,5.0,5.0,4.0,5.0,4.0,Film-Noir
21,4.5,0.0,3.5,4.0,0.0,4.5,0.0,4.0,0.0,2.0,3.5,2.0,3.5,4.0,4.5,Film-Noir
27,5.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,Film-Noir
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,Animation
33,5.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,0.0,Film-Noir
43,5.0,4.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,Animation
45,5.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,0.0,5.0,5.0,5.0,4.0,4.0,5.0,Animation
57,4.0,0.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0,4.0,Film-Noir
63,3.5,5.0,5.0,3.5,0.0,5.0,2.5,2.5,4.0,5.0,4.0,5.0,5.0,5.0,5.0,Film-Noir
71,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,Animation
73,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,4.5,0.0,0.0,Animation
89,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Animation
91,3.0,2.0,4.5,5.0,4.5,4.5,4.0,4.5,0.0,0.0,4.0,4.5,4.0,5.0,4.5,Film-Noir
93,5.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,Animation
103,4.0,5.0,5.0,4.0,5.0,4.0,4.5,4.0,3.5,0.0,0.0,5.0,4.0,3.5,4.5,Film-Noir
107,0.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
119,4.0,4.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,Film-Noir
121,4.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
135,0.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,Film-Noir
137,3.5,3.5,3.0,4.0,4.0,4.0,4.0,3.5,3.5,0.0,3.5,3.0,4.0,4.5,4.0,Film-Noir
141,4.0,4.0,4.0,3.5,0.0,4.0,3.5,3.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,Film-Noir
145,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
153,3.5,0.0,3.0,0.5,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.5,2.0,0.5,0.5,Film-Noir
155,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,Animation
159,4.0,4.5,0.5,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,3.0,4.5,0.0,0.0,Animation
161,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
167,3.0,5.0,3.0,0.0,2.5,4.0,3.5,3.5,0.0,3.0,0.0,0.0,3.5,4.0,4.5,Film-Noir
169,4.5,5.0,0.0,4.5,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,Animation
171,0.0,5.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,Animation
177,5.0,5.0,5.0,3.0,5.0,2.5,0.0,3.5,4.5,4.0,0.0,4.0,5.0,3.5,3.0,Film-Noir
179,5.0,5.0,4.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,Animation
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
191,0.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Film-Noir
193,3.0,3.5,4.0,0.0,3.5,5.0,0.0,2.0,4.0,2.5,0.0,3.0,2.0,2.0,4.5,Animation
201,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,Film-Noir
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.5,4.0,0.0,Animation
217,2.0,0.0,2.0,3.0,0.0,5.0,2.0,4.0,0.0,0.0,3.0,0.0,4.0,5.0,5.0,Film-Noir
219,0.0,5.0,4.0,5.0,4.5,5.0,0.0,4.0,0.0,5.0,4.5,4.5,3.5,4.5,4.5,Film-Noir
223,0.0,4.5,3.0,3.5,2.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,3.5,3.5,0.0,Film-Noir
229,4.0,5.0,5.0,0.0,4.0,0.0,5.0,3.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,Animation
233,5.0,5.0,4.0,4.5,4.5,0.0,3.0,0.0,4.0,3.0,0.0,4.0,3.0,0.0,0.0,Film-Noir
239,5.0,5.0,5.0,5.0,3.5,5.0,4.5,4.0,0.0,5.0,3.5,5.0,4.0,4.0,5.0,Film-Noir
247,5.0,4.5,4.0,3.5,4.0,4.0,4.0,4.5,4.0,4.0,3.5,5.0,5.0,4.0,4.5,Film-Noir
249,4.5,4.5,4.0,5.0,4.0,5.0,5.0,4.0,4.5,4.5,4.0,5.0,4.0,5.0,5.0,Film-Noir
263,4.0,5.0,3.0,4.0,5.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,4.0,0.0,4.0,Film-Noir
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
273,0.0,0.0,4.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,Animation
275,3.0,4.0,5.0,5.0,5.0,4.0,0.0,4.0,5.0,4.0,0.0,5.0,5.0,4.0,0.0,Film-Noir
277,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
279,3.0,4.5,5.0,4.5,4.0,5.0,4.0,4.0,0.0,3.5,4.0,3.5,3.0,4.0,5.0,Film-Noir
283,5.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Animation
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
293,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Film-Noir
307,4.0,4.5,4.5,3.5,4.5,3.5,3.5,3.5,4.5,4.0,2.5,4.0,4.0,4.0,3.0,Film-Noir
323,3.5,5.0,4.0,3.0,0.0,4.5,2.0,3.5,4.5,0.0,0.0,0.0,3.5,2.5,4.5,Animation
337,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
339,4.0,4.0,2.5,0.0,5.0,0.0,0.0,4.0,5.0,5.0,0.0,4.0,4.0,5.0,0.0,Film-Noir
341,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
347,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,Animation
353,0.0,5.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
357,3.5,4.0,4.5,0.0,4.5,4.0,4.0,4.0,5.0,3.5,3.5,4.5,5.0,4.0,4.5,Film-Noir
359,0.0,0.0,4.0,2.5,4.5,0.0,0.0,4.0,4.5,4.0,3.0,0.0,4.0,3.0,0.0,Animation
367,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,4.0,Film-Noir
373,4.0,5.0,5.0,0.0,5.0,0.0,4.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,Animation
381,4.0,3.5,0.0,5.0,0.0,3.5,0.0,4.0,0.0,0.0,2.5,5.0,3.5,4.0,3.5,Animation
385,4.0,5.0,4.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,5.0,0.0,4.0,5.0,5.0,Film-Noir
389,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
391,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,0.0,5.0,Film-Noir
399,5.0,0.0,5.0,5.0,4.5,5.0,3.0,3.0,4.0,0.5,2.5,3.0,4.0,5.0,5.0,Animation
401,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,Animation
411,5.0,4.0,5.0,0.0,5.0,0.0,4.0,5.0,5.0,0.0,3.0,0.0,5.0,0.0,0.0,Animation
443,5.0,5.0,4.0,3.5,3.5,4.0,4.5,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,Animation
451,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
453,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,4.0,Film-Noir
469,0.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,0.0,4.0,4.0,5.0,Film-Noir
471,3.0,0.0,4.0,3.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.0,5.0,0.0,0.0,Animation
477,5.0,5.0,4.5,4.0,5.0,4.5,0.0,4.0,4.5,4.5,5.0,0.0,4.0,4.0,5.0,Film-Noir
483,5.0,5.0,5.0,4.5,0.0,4.5,4.0,4.0,5.0,4.0,4.0,4.5,4.0,4.0,4.5,Film-Noir
509,0.0,0.0,3.5,3.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,Film-Noir
517,3.5,4.0,0.0,2.5,3.0,3.5,1.5,1.0,3.5,1.0,0.0,0.0,4.0,0.0,0.0,Film-Noir
525,4.0,4.5,0.0,4.0,3.5,4.0,0.0,4.0,4.0,4.0,0.0,3.5,4.0,4.0,4.5,Film-Noir
529,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Animation
533,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Animation
541,5.0,4.0,0.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,Animation
555,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0,4.0,4.0,4.0,5.0,Film-Noir
559,4.0,5.0,3.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,Animation
561,4.0,5.0,4.5,4.0,4.0,4.5,5.0,4.5,4.0,3.5,4.0,4.0,4.0,5.0,5.0,Film-Noir
567,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.5,2.5,2.0,Film-Noir
573,4.5,4.5,5.0,5.0,4.5,5.0,5.0,5.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,Film-Noir
579,5.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
587,4.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,Film-Noir
597,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,4.0,5.0,5.0,Film-Noir
599,3.5,4.0,5.0,5.0,3.0,5.0,3.5,4.0,0.0,5.0,4.5,5.0,3.0,3.5,5.0,Film-Noir
601,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,4.0,0.0,Animation
603,3.0,0.0,5.0,5.0,5.0,4.0,1.0,0.0,3.0,5.0,0.0,4.0,4.0,4.0,3.0,Film-Noir
605,3.0,0.0,2.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,3.5,0.0,4.0,0.0,0.0,Animation
607,0.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,0.0,4.0,0.0,3.0,Animation
609,4.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,Animation
105,3.5,5.0,5.0,4.0,4.5,4.0,3.5,0.0,3.5,5.0,4.0,5.0,0.0,4.0,0.0,Film-Noir
107,0.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
109,5.0,5.0,5.0,0.0,4.0,0.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,Film-Noir
115,0.0,0.0,5.0,3.0,5.0,5.0,3.0,5.0,0.0,1.0,5.0,0.0,0.0,4.0,5.0,Film-Noir
117,4.0,5.0,4.0,0.0,5.0,0.0,5.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,Animation
121,4.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
125,5.0,4.0,4.5,5.0,4.0,0.0,4.5,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,Film-Noir
129,0.0,0.0,0.0,4.5,0.0,4.0,4.0,3.5,0.0,4.5,0.0,4.0,0.0,0.0,4.0,Film-Noir
131,3.0,4.0,4.0,3.0,4.0,2.5,2.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.5,Film-Noir
133,4.0,4.0,3.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,Animation
135,0.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,Film-Noir
137,3.5,3.5,3.0,4.0,4.0,4.0,4.0,3.5,3.5,0.0,3.5,3.0,4.0,4.5,4.0,Film-Noir
141,4.0,4.0,4.0,3.5,0.0,4.0,3.5,3.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,Film-Noir
159,4.0,4.5,0.5,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,3.0,4.5,0.0,0.0,Animation
165,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,Animation
167,3.0,5.0,3.0,0.0,2.5,4.0,3.5,3.5,0.0,3.0,0.0,0.0,3.5,4.0,4.5,Film-Noir
173,5.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,Animation
179,5.0,5.0,4.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,Animation
181,5.0,0.0,2.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Animation
183,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,Musical
187,2.0,3.0,4.5,4.0,4.0,4.0,3.0,0.0,4.0,4.0,0.0,3.0,0.0,3.0,4.0,Film-Noir
191,0.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Film-Noir
203,0.0,4.0,5.0,2.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Animation
217,2.0,0.0,2.0,3.0,0.0,5.0,2.0,4.0,0.0,0.0,3.0,0.0,4.0,5.0,5.0,Film-Noir
223,0.0,4.5,3.0,3.5,2.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,3.5,3.5,0.0,Film-Noir
227,5.0,4.0,4.5,4.5,4.5,3.5,3.5,0.0,4.0,0.0,3.5,5.0,0.0,0.0,4.0,Film-Noir
229,4.0,5.0,5.0,0.0,4.0,0.0,5.0,3.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,Animation
233,5.0,5.0,4.0,4.5,4.5,0.0,3.0,0.0,4.0,3.0,0.0,4.0,3.0,0.0,0.0,Film-Noir
235,5.0,4.0,4.0,0.0,5.0,0.0,4.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,Animation
239,5.0,5.0,5.0,5.0,3.5,5.0,4.5,4.0,0.0,5.0,3.5,5.0,4.0,4.0,5.0,Film-Noir
247,5.0,4.5,4.0,3.5,4.0,4.0,4.0,4.5,4.0,4.0,3.5,5.0,5.0,4.0,4.5,Film-Noir
249,4.5,4.5,4.0,5.0,4.0,5.0,5.0,4.0,4.5,4.5,4.0,5.0,4.0,5.0,5.0,Film-Noir
263,4.0,5.0,3.0,4.0,5.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,4.0,0.0,4.0,Film-Noir
265,0.0,4.0,0.0,5.0,5.0,5.0,3.0,4.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,Musical
267,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,4.0,5.0,0.0,0.0,5.0,5.0,Musical
279,3.0,4.5,5.0,4.5,4.0,5.0,4.0,4.0,0.0,3.5,4.0,3.5,3.0,4.0,5.0,Film-Noir
283,5.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Animation
287,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,Film-Noir
301,4.0,0.0,4.5,0.0,0.0,0.0,1.5,3.0,4.5,4.0,0.5,0.0,0.0,0.0,0.0,Animation
307,4.0,4.5,4.5,3.5,4.5,3.5,3.5,3.5,4.5,4.0,2.5,4.0,4.0,4.0,3.0,Film-Noir
317,5.0,4.0,5.0,4.0,5.0,4.0,5.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,Film-Noir
319,4.0,4.5,0.0,5.0,0.0,0.0,4.5,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,Animation
323,3.5,5.0,4.0,3.0,0.0,4.5,2.0,3.5,4.5,0.0,0.0,0.0,3.5,2.5,4.5,Animation
335,4.0,5.0,5.0,5.0,3.5,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,Drama
337,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Animation
347,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,Animation
353,0.0,5.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Animation
357,3.5,4.0,4.5,0.0,4.5,4.0,4.0,4.0,5.0,3.5,3.5,4.5,5.0,4.0,4.5,Film-Noir
373,4.0,5.0,5.0,0.0,5.0,0.0,4.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,Animation
379,5.0,3.0,2.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,Animation
387,4.0,3.5,5.0,4.0,4.0,4.5,3.5,3.0,0.0,4.5,3.5,4.5,0.0,4.0,4.5,Film-Noir
391,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,0.0,5.0,Film-Noir
393,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,5.0,0.0,5.0,0.0,Film-Noir
395,3.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,Animation
399,5.0,0.0,5.0,5.0,4.5,5.0,3.0,3.0,4.0,0.5,2.5,3.0,4.0,5.0,5.0,Animation
403,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Animation
405,0.0,0.0,4.5,4.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Film-Noir
411,5.0,4.0,5.0,0.0,5.0,0.0,4.0,5.0,5.0,0.0,3.0,0.0,5.0,0.0,0.0,Animation
419,4.5,5.0,5.0,4.0,3.0,0.0,4.0,3.5,5.0,4.0,0.0,5.0,0.0,0.0,0.0,Film-Noir
423,5.0,5.0,4.5,0.0,0.0,0.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Drama
425,5.0,5.0,4.0,3.5,4.0,3.0,4.0,3.5,4.0,3.0,3.5,4.5,0.0,4.0,3.0,Film-Noir
427,0.0,0.0,4.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Animation
433,0.0,4.5,5.0,0.0,4.0,0.0,3.0,0.0,2.5,0.0,0.0,4.0,0.0,0.0,0.0,Drama
437,3.0,5.0,5.0,0.0,0.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Children
439,5.0,5.0,0.0,5.0,0.0,0.0,3.5,0.0,4.5,0.0,3.5,0.0,0.0,4.5,0.0,Animation
443,5.0,5.0,4.0,3.5,3.5,4.0,4.5,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,Animation
445,3.0,0.0,4.0,5.0,4.0,5.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,Animation
447,4.0,5.0,5.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Animation
453,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,4.0,Film-Noir
455,5.0,5.0,0.0,0.0,5.0,0.0,4.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,Animation
457,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,Animation
463,4.0,0.0,4.0,0.0,0.0,0.0,4.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Animation
469,0.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,0.0,4.0,4.0,5.0,Film-Noir
479,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Animation
483,5.0,5.0,5.0,4.5,0.0,4.5,4.0,4.0,5.0,4.0,4.0,4.5,4.0,4.0,4.5,Film-Noir
485,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Animation
489,4.0,0.0,4.0,4.0,4.0,0.0,4.5,3.5,0.0,4.0,3.5,4.5,0.0,4.0,0.0,Film-Noir
493,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,Drama
507,4.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Animation
513,0.0,5.0,4.5,0.0,4.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Animation
517,3.5,4.0,0.0,2.5,3.0,3.5,1.5,1.0,3.5,1.0,0.0,0.0,4.0,0.0,0.0,Film-Noir
541,5.0,4.0,0.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,Animation
549,0.0,4.0,0.0,5.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,5.0,0.0,4.5,2.0,Children
551,4.5,4.0,3.5,4.0,4.5,3.5,3.5,0.0,0.0,0.0,4.0,4.5,0.0,0.0,0.0,Film-Noir
555,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0,4.0,4.0,4.0,5.0,Film-Noir
559,4.0,5.0,3.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,Animation
561,4.0,5.0,4.5,4.0,4.0,4.5,5.0,4.5,4.0,3.5,4.0,4.0,4.0,5.0,5.0,Film-Noir
